,ORGANIZATION NAME,ORGANIZATION ID (IPF),PROJECT NUMBER,FUNDING MECHANISM,NIH REFERENCE,PI NAME,PI PERSON ID,PROJECT TITLE,DEPT NAME,NIH DEPT COMBINING NAME,NIH MC COMBINING NAME,DIRECT COST,INDIRECT COST,FUNDING,CONGRESSIONAL DISTRICT,CITY,STATE OR COUNTRY NAME,ZIP CODE,ATTRIBUTED TO MEDICAL SCHOOL,MEDICAL SCHOOL LOCATION,INSTITUTION TYPE,AWARD NOTICE DATE,FOA,MONTH,YEAR,LON,LAT,COUNTY,FIPS
11,ALBANY MEDICAL COLLEGE,8455007,5R01NS111943-05,RPGs - Non SBIR/STTR,10547819,"MONGIN, ALEXANDER A",1976822,Oxidative Stress and Pathological Glutamate Release in Stroke,,NONE,UNAVAILABLE,"$224,969 ","$139,481 ","$364,450 ",20,ALBANY,NEW YORK,12208,,ALBANY MEDICAL COLLEGE,Domestic Higher Education,2/1/2023,PA18-484,2.0,2023.0,-73.7987,42.6664,ALBANY,36001.0
12,ALBANY MEDICAL COLLEGE,8455007,5R01NS110627-04,RPGs - Non SBIR/STTR,10531613,"POITELON, YANNICK",11755251,Transduction of Mechanical Stimuli in Myelination and Peripheral Nerve Repair,,NONE,UNAVAILABLE,"$237,326 ","$149,200 ","$386,526 ",20,ALBANY,NEW YORK,12208,,ALBANY MEDICAL COLLEGE,Domestic Higher Education,12/20/2022,PA19-056,12.0,2022.0,-73.7987,42.6664,ALBANY,36001.0
13,ALBANY MEDICAL COLLEGE,8455007,5R01NS112713-04,RPGs - Non SBIR/STTR,10548133,"HUANG, YUNFEI",8875426,IL22 Signaling in Epilepsy,NEUROSCIENCE AND EXPERIMENTAL THERAPEUTICS,OTHER BASIC SCIENCES,SCHOOLS OF MEDICINE,"$250,503 ","$157,817 ","$408,320 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,Domestic Higher Education,1/5/2023,PA19-056,1.0,2023.0,-73.7987,42.6664,ALBANY,36001.0
14,ALBANY MEDICAL COLLEGE,8455007,5R01HL160661-02,RPGs - Non SBIR/STTR,10539282,"JAITOVICH, ADOLFO ARIEL",11002234,Metabolic regulation of hypercapnic chronic obstructive pulmonary disease (COPD)-driven skeletal muscle dysfunction,MOLECULAR AND CELLULAR PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$310,897 ","$195,864 ","$506,761 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,Domestic Higher Education,11/9/2022,PA20-185,11.0,2022.0,-73.7987,42.6664,ALBANY,36001.0
15,ALBANY MEDICAL COLLEGE,8455007,5R01AI162670-02,RPGs - Non SBIR/STTR,10555332,"SUN, WEI",10689301,Yersinia Outer-Membrane-Vesicle Vaccines Against Pneumonic Plague,IMMUNOLOGY AND MICROBIAL DISEASE,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$462,307 ","$244,620 ","$706,927 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,Domestic Higher Education,12/23/2022,PA20-185,12.0,2022.0,-73.7987,42.6664,ALBANY,36001.0
16,ALBANY MEDICAL COLLEGE,8455007,3R01NS110627-04S1,RPGs - Non SBIR/STTR,10755836,"POITELON, YANNICK",11755251,Transduction of Mechanical Stimuli in Myelination and Peripheral Nerve Repair,,NONE,UNAVAILABLE,"$32,992 ","$20,785 ","$53,777 ",20,ALBANY,NEW YORK,12208,,ALBANY MEDICAL COLLEGE,Domestic Higher Education,12/30/2022,PA19-056,12.0,2022.0,-73.7987,42.6664,ALBANY,36001.0
17,ALBANY MEDICAL COLLEGE,8455007,1R21AI169111-01A1,RPGs - Non SBIR/STTR,10667007,"BAI, GUANGCHUN",10515172,A novel c-di-AMP-based recombinant BCG vaccine,IMMUNOLOGY AND MICROBIAL DISEASE,MICROBIOLOGY/IMMUN/VIROLOGY,SCHOOLS OF MEDICINE,"$150,000 ","$94,500 ","$244,500 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,Domestic Higher Education,2/9/2023,PA20-195,2.0,2023.0,-73.7987,42.6664,ALBANY,36001.0
18,ALBANY MEDICAL COLLEGE,8455007,5R01CA233188-04,RPGs - Non SBIR/STTR,10547808,"BARROSO, MARGARIDA",1973884,Endosome-mitochondria interactions in breast cancer cells,MOLECULAR AND CELLULAR PHYSIOLOGY,PHYSIOLOGY,SCHOOLS OF MEDICINE,"$400,498 ","$153,765 ","$554,263 ",20,ALBANY,NEW YORK,12208,Y,ALBANY MEDICAL COLLEGE,Domestic Higher Education,1/31/2023,PAR17-203,1.0,2023.0,-73.7987,42.6664,ALBANY,36001.0
19,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F30DC020109-02,Training - Individual,10472515,"BAE, ANDREA J",15107803,Role of brain oscillations in midbrain and forebrain networks supporting stimulus selection in the sound localization pathway of barn owls,NONE,NONE,UNIVERSITY-WIDE,"$52,694 ",,"$52,694 ",14,BRONX,NEW YORK,,,,,12/8/2022,PA21-049,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
20,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI139465-06,RPGs - Non SBIR/STTR,10509390,"BERNEY, MICHAEL",11329317,Eradicating persistent M. tuberculosis by synthetic lethality of terminal respiratory oxidases,,NONE,UNAVAILABLE,"$408,684 ","$222,294 ","$630,978 ",14,BRONX,NEW YORK,,,,,10/19/2022,PA18-484,10.0,2022.0,-73.8662,40.8501,BRONX,36005.0
21,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F31GM140554-03,Training - Individual,10542768,"FLORES, JULIO C",15107839,Epigenetic regulation of stem cells and development by the DNA dioxygenase Tet2,NONE,NONE,UNIVERSITY-WIDE,"$51,752 ",,"$51,752 ",14,BRONX,NEW YORK,,,,,12/21/2022,PA19-196,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
22,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01MH119001-04,RPGs - Non SBIR/STTR,10550234,"PATEL, VIRAJ V",11659517,CHALO!: A mobile technology based intervention to accelerate HIV testing and linkage to prevention and treatment,,NONE,UNAVAILABLE,"$427,868 ","$164,793 ","$592,661 ",14,BRONX,NEW YORK,,,,,2/2/2023,PA18-278,2.0,2023.0,-73.8662,40.8501,BRONX,36005.0
23,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01MH078064-18,RPGs - Non SBIR/STTR,10553724,"RADULOVIC, JELENA",8023938,Mechanisms of Stress-Enhanced Aversive Conditioning,NONE,NONE,UNIVERSITY-WIDE,"$367,696 ","$250,033 ","$617,729 ",14,BRONX,NEW YORK,,,,,1/31/2023,PA20-185,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
24,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01NS129936-01,RPGs - Non SBIR/STTR,10564735,"DUONG, TIMOTHY Q.",6066236,MRI Study of Hydrogen Water and Minocycline Combination Therapy for Ischemic Stroke,NONE,NONE,UNIVERSITY-WIDE,"$324,375 ","$102,000 ","$426,375 ",14,BRONX,NEW YORK,,,,,12/23/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
25,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F31DC019303-02,Training - Individual,10469998,"SHADRON, KEANU",15547256,The effect of encoding cue reliability on the function and development of the barn owl auditory system,NONE,NONE,UNIVERSITY-WIDE,"$47,694 ",,"$47,694 ",14,BRONX,NEW YORK,,,,,11/18/2022,PA21-052,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
26,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01CA175495-10,RPGs - Non SBIR/STTR,10532710,"ZANG, XINGXING",9401749,The B7x pathways in the tumor microenvironment,,NONE,UNAVAILABLE,"$416,250 ","$283,050 ","$699,300 ",14,BRONX,NEW YORK,,,,,12/23/2022,PA19-056,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
27,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01DK117417-04,RPGs - Non SBIR/STTR,10532746,"YANG, FAJUN JAMES",9708633,Novel effectors of insulin action in the liver,,NONE,UNAVAILABLE,"$318,420 ","$214,934 ","$533,354 ",14,BRONX,NEW YORK,,,,,11/28/2022,PA19-056,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
28,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01NS119255-03,RPGs - Non SBIR/STTR,10536657,"MOLERO, ALDRIN ENRIQUE",9351432,The Pathogenic Role of Interneurons in Huntington's Disease,NONE,NONE,UNIVERSITY-WIDE,"$367,901 ","$250,173 ","$618,074 ",14,BRONX,NEW YORK,,,,,11/29/2022,PA19-056,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
29,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL076246-20,RPGs - Non SBIR/STTR,10551189,"FRANGOGIANNIS, NIKOLAOS G",7729979,Chemokines in healing myocardial infarction,,NONE,UNAVAILABLE,"$336,019 ","$228,493 ","$564,512 ",14,BRONX,NEW YORK,,,,,1/8/2023,PA19-056,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
30,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01GM057829-25,RPGs - Non SBIR/STTR,10553646,"QUERY, CHARLES C",1931229,Protein RNA Rearrangements in the Spliceosome,NONE,NONE,UNIVERSITY-WIDE,"$296,985 ","$201,950 ","$498,935 ",14,BRONX,NEW YORK,,,,,12/22/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
31,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI141816-06,RPGs - Non SBIR/STTR,10507763,"FISER, ANDRAS",8356728,Interdisciplinary protein engineering approach to design high affinity antibodies for flaviviruses,,NONE,UNAVAILABLE,"$250,000 ","$167,500 ","$417,500 ",14,BRONX,NEW YORK,,,,,11/3/2022,PA18-484,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
32,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01GM135614-04,RPGs - Non SBIR/STTR,10542749,"SHECHTER, DAVID",2186844,Regulation of Histone Chaperone Function by Glutamylation,,NONE,UNAVAILABLE,"$198,002 ","$134,640 ","$332,642 ",14,BRONX,NEW YORK,,,,,11/29/2022,PA19-056,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
33,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL149921-04,RPGs - Non SBIR/STTR,10543542,"SIBINGA, NICHOLAS E",1939506,Metabolic control in vascular remodeling,,NONE,UNAVAILABLE,"$327,485 ","$206,747 ","$534,232 ",14,BRONX,NEW YORK,,,,,12/31/2022,PA19-056,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
34,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K23HL146982-04,Other Research-Related,10554167,"BORTNICK, ANNA E",12377942,Cardiac Calcification and Cholesterol Efflux in Older Adults,,NONE,UNAVAILABLE,"$176,084 ","$14,087 ","$190,171 ",14,BRONX,NEW YORK,,,,,1/8/2023,PA19-119,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
35,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AG075679-02,RPGs - Non SBIR/STTR,10560644,"MAHONEY, JEANNETTE R.",11243742,Visual-somatosensory integration as a novel marker of Alzheimer's disease,NONE,NONE,UNIVERSITY-WIDE,"$499,998 ","$339,999 ","$839,997 ",14,BRONX,NEW YORK,,,,,1/23/2023,PAR19-070,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
36,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01HL166318-01,RPGs - Non SBIR/STTR,10563967,"CHAMBERS, EARLE C",7920984,Bronx Neighborhood Redevelopment and CVD in mid-life and older adults,NONE,NONE,UNIVERSITY-WIDE,"$521,227 ","$265,499 ","$786,726 ",14,BRONX,NEW YORK,,,,,12/19/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
37,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,2R01HL133120-06,RPGs - Non SBIR/STTR,10595393,"ZHOU, BIN",7929369,Molecular and Cellular Mechanisms in Coronary Artery Development and Anomalies,NONE,NONE,UNIVERSITY-WIDE,"$455,209 ","$309,542 ","$764,751 ",14,BRONX,NEW YORK,,,,,12/19/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
38,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1F31MH132471-01,Training - Individual,10619848,"RUIZ, VANESSA",11278543,Characterizing subsets of HIV-infected and uninfected CD14+CD16+ monocytes that contribute to neuropathogenesis,NONE,NONE,UNIVERSITY-WIDE,"$51,752 ",,"$51,752 ",14,BRONX,NEW YORK,,,,,1/12/2023,PA21-052,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
39,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,3U19AG056278-06S1,RPGs - Non SBIR/STTR,10733650,"VIJG, JAN",1881928,Bridge Funding - Genetic variant-based drug discovery targeting conserved pathways of aging,,NONE,UNAVAILABLE,"$393,098 ","$51,000 ","$444,098 ",14,BRONX,NEW YORK,,,,,1/25/2023,PA20-272,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
40,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL157157-02,RPGs - Non SBIR/STTR,10553279,"MORROW, BERNICE E",1929062,Genetic modifiers of congenital heart disease in 22q11.2 deletion syndrome,NONE,NONE,UNIVERSITY-WIDE,"$567,833 ","$195,227 ","$763,060 ",14,BRONX,NEW YORK,,,,,2/1/2023,PA20-185,2.0,2023.0,-73.8662,40.8501,BRONX,36005.0
41,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01DK134333-01,RPGs - Non SBIR/STTR,10559045,"JO, YOUNG-HWAN",7367281,Role of cholinergic innervation of the liver,NONE,NONE,UNIVERSITY-WIDE,"$300,747 ","$204,508 ","$505,255 ",14,BRONX,NEW YORK,,,,,12/22/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
42,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01DK135079-01,RPGs - Non SBIR/STTR,10589465,"DILORENZO, TERESA P",7328175,"The ""dark immunopeptidome"" as a source of CD8 T cell epitopes in type 1 diabetes",NONE,NONE,UNIVERSITY-WIDE,"$444,023 ","$172,601 ","$616,624 ",14,BRONX,NEW YORK,,,,,1/30/2023,RFADK21-004,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
43,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01NS127697-01A1,RPGs - Non SBIR/STTR,10618602,"HOLTZER, ROEE",8752439,Central Control and Neuroinflammatory Mechanisms of Locomotion in Older Adults with HIV,NONE,NONE,UNIVERSITY-WIDE,"$589,006 ","$273,006 ","$862,012 ",14,BRONX,NEW YORK,,,,,11/29/2022,PAR21-068,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
44,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01AI175972-01,RPGs - Non SBIR/STTR,10651352,"BERNEY, MICHAEL",11329317,The PDIM paradox of M. tuberculosis,NONE,NONE,UNIVERSITY-WIDE,"$298,691 ","$203,110 ","$501,801 ",14,BRONX,NEW YORK,,,,,1/26/2023,PA20-185,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
45,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5F31NS120723-02,Training - Individual,10434665,"RATLIFF, JACOB",15160031,The Role of Long-Range Inhibitory Neurons in Cortical Circuits,NONE,NONE,UNIVERSITY-WIDE,"$47,694 ",,"$47,694 ",14,BRONX,NEW YORK,,,,,11/15/2022,PA21-051,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
46,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K23DK124644-03,Other Research-Related,10540756,"JOHNS, TANYA",11052435,Diet Related Inflammation and Kidney Function Decline in Racial/Ethnic Minorities,NONE,NONE,UNIVERSITY-WIDE,"$174,861 ","$13,989 ","$188,850 ",14,BRONX,NEW YORK,,,,,12/21/2022,PA20-206,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
47,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL085440-17,RPGs - Non SBIR/STTR,10543996,"FRANGOGIANNIS, NIKOLAOS G",7729979,Resolution of inflammation in healing myocardial infarcts,NONE,NONE,UNIVERSITY-WIDE,"$380,024 ","$258,416 ","$638,440 ",14,BRONX,NEW YORK,,,,,1/2/2023,PA20-185,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
48,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01HL157347-02,RPGs - Non SBIR/STTR,10544023,"ZHOU, BIN",7929369,Molecular signaling in aortic valve development and congenital aortic valve defect,NONE,NONE,UNIVERSITY-WIDE,"$386,699 ","$262,955 ","$649,654 ",14,BRONX,NEW YORK,,,,,1/9/2023,PA20-185,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
49,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K23HL145140-05,Other Research-Related,10548171,"SAEED, OMAR",14322689,Hemolysis and Platelet Activation during Continuous Flow Mechanical Circulatory Support,,NONE,UNAVAILABLE,"$138,000 ","$11,040 ","$149,040 ",14,BRONX,NEW YORK,,,,,11/23/2022,PA18-374,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
50,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01ES007331-29,RPGs - Non SBIR/STTR,10570916,"ASCHNER, MICHAEL",1889672,Mechanisms of Methylmercury Induced Neuronal Toxicity,NONE,NONE,UNIVERSITY-WIDE,"$469,837 ","$125,975 ","$595,812 ",14,BRONX,NEW YORK,,,,,12/8/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
51,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R21AI174037-01,RPGs - Non SBIR/STTR,10575027,"CHANDRAN, KARTIK",8772874,Comprehensive genetic dissection of poxvirus membrane assembly and function,NONE,NONE,UNIVERSITY-WIDE,"$150,000 ","$102,000 ","$252,000 ",14,BRONX,NEW YORK,,,,,12/1/2022,PA20-195,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
52,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01GM119160-07,RPGs - Non SBIR/STTR,10589132,"JENNY, ANDREAS",7896676,Endosomal Microautophagy in Drosophila,NONE,NONE,UNIVERSITY-WIDE,"$250,185 ","$170,125 ","$420,310 ",14,BRONX,NEW YORK,,,,,12/22/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
53,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01CA128943-16,RPGs - Non SBIR/STTR,10521263,"DI CRISTOFANO, ANTONIO",6981843,Molecular analysis and therapeutic targeting of PI3K signaling in thyroid cancer,,NONE,UNAVAILABLE,"$227,701 ","$152,559 ","$380,260 ",14,BRONX,NEW YORK,,,,,12/1/2022,PA19-056,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
54,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K23AG062400-04,Other Research-Related,10547772,"MURPHY, KERRY J",11517705,The impact of HIV on accelerated aging in the female genital tract: a pilot trial of topical estradiol to improve the vaginal microbiome and symptoms of vaginal atrophy in menopausal women with HIV,,NONE,UNAVAILABLE,"$183,000 ","$14,640 ","$197,640 ",14,BRONX,NEW YORK,,,,,1/23/2023,PA19-118,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
55,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,3R01NS127524-01S1,RPGs - Non SBIR/STTR,10711486,"GALANOPOULOU, ARISTEA S",6978554,Translational Platform for Epilepsy Therapy and Biomarker Discovery,NONE,NONE,UNIVERSITY-WIDE,"$16,204 ",,"$16,204 ",14,BRONX,NEW YORK,,,,,12/1/2022,PA20-272,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
56,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,3R01CA175495-10S1,RPGs - Non SBIR/STTR,10738320,"ZANG, XINGXING",9401749,The B7x pathways in the tumor microenvironment,,NONE,UNAVAILABLE,"$48,060 ","$32,681 ","$80,741 ",14,BRONX,NEW YORK,,,,,12/26/2022,PA19-056,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
57,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5K01DK131329-02,Other Research-Related,10559637,"YE, JODY",16381914,Investigating the functional roles of CTSH and PGM1 in beta-cells during autoimmune diabetes development,NONE,NONE,UNIVERSITY-WIDE,"$142,000 ","$11,360 ","$153,360 ",14,BRONX,NEW YORK,,,,,1/6/2023,PA20-190,1.0,2023.0,-73.8662,40.8501,BRONX,36005.0
58,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1R01HL163635-01A1,RPGs - Non SBIR/STTR,10586704,"SIBINGA, NICHOLAS E",1939506,FAT cadherins and vascular remodeling,NONE,NONE,UNIVERSITY-WIDE,"$375,346 ","$244,630 ","$619,976 ",14,BRONX,NEW YORK,,,,,12/9/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
59,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,1F31GM146429-01A1,Training - Individual,10607072,"CEDENO, YESSENIA",15601886,Role of Nicotinamide Nucleotide Adenylyltransferase-1 (NMNAT1) in Chromatin Remodeling and Gene Regulation,NONE,NONE,UNIVERSITY-WIDE,"$46,752 ",,"$46,752 ",14,BRONX,NEW YORK,,,,,12/9/2022,PA21-052,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
60,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01AI075647-29,RPGs - Non SBIR/STTR,10520034,"KIELIAN, MARGARET",1866114,Dissection of molecular events driving alphavirus entry and assembly,,NONE,UNAVAILABLE,"$379,349 ","$254,164 ","$633,513 ",14,BRONX,NEW YORK,,,,,11/30/2022,PA18-484,11.0,2022.0,-73.8662,40.8501,BRONX,36005.0
61,ALBERT EINSTEIN COLLEGE OF MEDICINE,10053556,5R01DK131176-02,RPGs - Non SBIR/STTR,10528487,"REIDY, KIMBERLY JEAN",10194509,Cell specific Partitioning Defective Par1a/b deletion effects on renal repair,NONE,NONE,UNIVERSITY-WIDE,"$283,401 ","$163,636 ","$447,037 ",14,BRONX,NEW YORK,,,,,12/5/2022,PA20-185,12.0,2022.0,-73.8662,40.8501,BRONX,36005.0
